,kwdprog,kwdmain,kwdvars,semi,equal,int,float,string,id,aster,comma,kwdclass,colon,kwdfcn,kwdif,kwdelseif,kwdelse,kwdwhile,kprint,kwdreturn,ampersand,opeq,opne,ople,opge,plus,minus,slash,caret,brace1,brace2,parens1,parens2,bracket1,bracket2,angle1,angle2
Rterm,,,,,,107,107,107,107,107,,,,,,,,,,,107,,,,,,,,,,,107,,,,,
B,,,,109,,,,,,,109,,,,,,,,,,,109,109,109,109,108,108,,,,109,,109,,109,109,109
Term,,,,,,110,110,110,110,110,,,,,,,,,,,110,,,,,,,,,,,110,,,,,
C,,,,112,,,,,,111,112,,,,,,,,,,,112,112,112,112,112,112,111,111,,112,,112,,112,112,112
Fact,,,,,,113,113,113,114,,,,,,,,,,,,,,,,,,,,,,,117,,,,,
P,,,,131,,,,,,131,131,,,,,,,,,,,131,131,131,131,131,131,131,131,,131,116,131,115,131,131,131
Addrof_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oprel,,,,,,,,,,,,,,,,,,,,,,118,119,121,122,,,,,,,,,,,120,123
Lthan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,
Gthan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125
Opadd,,,,,,,,,,,,,,,,,,,,,,,,,,126,127,,,,,,,,,,
Opmul,,,,,,,,,,128,,,,,,,,,,,,,,,,,,129,130,,,,,,,,
